,date,open,high,low,close,volume,dividends,stock_splits
0,2019-10-30,59.210129804148245,59.34076379972664,58.35134878297548,58.84726333618164,124522000,0.0,0.0
1,2019-10-31,59.81007808223595,60.27696454911807,57.39580359958002,60.17778015136719,139162000,0.0,0.0
2,2019-11-01,60.366472774633856,61.91228400555279,60.27454909942981,61.885677337646484,151125200,0.0,0.0
3,2019-11-04,62.250951808920234,62.37675024854534,61.77922980793869,62.29207992553711,103272000,0.0,0.0
4,2019-11-05,62.1832301101917,62.459012240435854,62.00663977516011,62.20258712768555,79897600,0.0,0.0
5,2019-11-06,62.11548853959464,62.28966476534779,61.776814595779705,62.22918701171875,75864400,0.0,0.0
6,2019-11-07,62.77996737994367,63.17061725070498,62.627104708980646,62.9473876953125,94940400,0.1925,0.0
7,2019-11-08,62.767843820527894,63.19245909614452,62.321392076443885,63.11967086791992,69986400,0.0,0.0
8,2019-11-11,62.67320411157443,63.68500478929601,62.668354031849105,63.6194953918457,81821200,0.0,0.0
9,2019-11-12,63.461770431901215,63.762645660209515,63.30891518276952,63.56125259399414,87388800,0.0,0.0
10,2019-11-13,63.359865313045326,64.24548978112769,63.34530767064296,64.17027282714844,102734400,0.0,0.0
11,2019-11-14,63.995577313817684,64.26975860232203,63.59522731582795,63.726253509521484,89182800,0.0,0.0
12,2019-11-15,63.978601892146045,64.4881417063143,63.81603904674983,64.48329162597656,100206400,0.0,0.0
13,2019-11-18,64.49299296274829,64.88849295621839,64.1120580199626,64.80842590332031,86703200,0.0,0.0
14,2019-11-19,65.00253522318165,65.02680043562813,64.39352059758347,64.61189270019531,76167200,0.0,0.0
15,2019-11-20,64.42989442635496,64.56091320384523,63.18273546540042,63.85969543457031,106234400,0.0,0.0
16,2019-11-21,63.98103129846778,64.05867701289385,63.372009295786434,63.573402404785156,121395200,0.0,0.0
17,2019-11-22,63.71412135539056,63.857276459529515,63.28950612279632,63.51758575439453,65325200,0.0,0.0
18,2019-11-25,63.74322582455341,64.64826537524837,63.69712415760617,64.63127899169922,84020400,0.0,0.0
19,2019-11-26,64.76959712330974,64.82297762192836,63.69228699097197,64.1266098022461,105207600,0.0,0.0
20,2019-11-27,64.43959069030419,65.02192595165054,64.37408130551792,64.98795318603516,65235600,0.0,0.0
21,2019-11-29,64.68710535192832,65.02679608936506,64.51725628085859,64.84481811523438,46617600,0.0,0.0
22,2019-12-02,64.84967605119597,65.08746329855782,63.922807084919874,64.09507751464844,94487200,0.0,0.0
23,2019-12-03,62.675626161987594,62.97164389706815,62.18550159279239,62.95223617553711,114430400,0.0,0.0
24,2019-12-04,63.34531832880534,63.88882348247734,63.25068623256654,63.50788116455078,67181600,0.0,0.0
25,2019-12-05,64.00532062396812,64.51486063539322,63.7481255771479,64.43963623046875,74424400,0.0,0.0
26,2019-12-06,64.9006201520592,65.7547006834355,64.85693981554473,65.68433380126953,106075600,0.0,0.0
27,2019-12-09,65.51206720223725,65.7061740691037,64.27704430539639,64.7647476196289,128042400,0.0,0.0
28,2019-12-10,65.17238769447079,65.52906486234131,64.50755638144257,65.14327239990234,90420400,0.0,0.0
29,2019-12-11,65.22330856359658,65.77894985408153,65.14809162002396,65.6988754272461,78756800,0.0,0.0
30,2019-12-12,64.97340675835741,66.13321259302575,64.8617956893739,65.8663101196289,137310400,0.0,0.0
31,2019-12-13,65.86630282241767,66.79802893156821,65.73770538194196,66.76163482666016,133587600,0.0,0.0
